,index,SN,isDyn,isHqe,gain,resolution,dcr,pde,tts,amplitude,HV,PvsV,SvsN,risetime,falltime,fwhm,tts_ss
0,0,PA0F,0,1,10475100.0,0.29,57.1,32.81,9.83,7.98,1800.0,4.25,0.074,6.9,17.5,7.49,5.4215933299545584
1,1,EA0F,1,0,10399500.0,0.27,42.7,30.16,5.8,6.69,1805.0,3.69,0.071,7.09,10.07,12.01,7.779546513408422
2,2,PA1F,0,1,10197300.0,0.36,54.3,31.84,9.44,8.15,1859.0,4.03,0.077,4.37,12.56,7.43,5.535272938974109
3,3,PA2F,0,1,10200100.0,0.33,23.6,26.34,9.25,7.93,1744.0,2.95,0.08,4.65,17.86,7.62,4.375499131397834
4,4,EA1F,1,0,10011100.0,0.26,13.5,28.9,5.84,6.49,2006.0,3.71,0.081,5.8,11.41,11.45,0.8216548936617737
5,5,PA3F,0,1,10078100.0,0.29,11.0,24.3,9.18,8.08,1828.0,3.92,0.084,4.57,16.94,7.4,5.580373763781288
6,6,PA4F,0,1,9872780.0,0.28,13.2,24.7,8.44,8.5,1784.0,5.03,0.077,4.56,10.22,7.14,4.831356685910567
7,7,PA5F,0,1,10248100.0,0.37,21.3,33.25,9.55,7.88,1950.0,2.89,0.075,4.6,17.29,7.67,5.471149762510252
8,8,EA2F,1,0,10491500.0,0.23,14.3,27.87,7.36,6.29,1769.0,3.58,0.073,6.97,10.84,11.41,0.949774732151245
9,9,PA6F,0,1,10323200.0,0.35,43.0,33.56,9.17,7.32,1910.0,3.65,0.074,4.67,18.08,7.59,4.949678821326875
10,10,PA7F,0,1,10340200.0,0.33,23.6,35.16,8.99,7.95,1756.0,3.41,0.079,4.47,17.89,7.53,5.062581802107761
11,11,EA3F,1,0,10183600.0,0.27,19.3,30.75,6.22,5.55,1718.0,3.43,0.074,7.04,9.93,11.65,1.6584518354120001
12,12,PA8F,0,1,9961880.0,0.33,23.6,35.17,8.94,7.36,1924.0,4.09,0.077,4.56,17.87,7.61,4.4384829181423795
13,13,PA1710-1441,0,0,10048600.0,0.34,31.3,27.45,9.18,5.94,1763.0,3.11,0.081,4.56,18.08,7.78,5.340196107037172
14,14,PA9F,0,1,10475800.0,0.3,51.0,34.03,9.29,8.62,1779.0,4.88,0.072,4.43,16.5,7.25,4.873265234672308
15,15,EA4F,1,0,10310300.0,0.26,27.9,28.02,6.32,6.66,2239.0,3.91,0.071,5.69,9.94,11.28,0.89523240791231
16,16,PA10F,0,1,10339800.0,0.32,49.4,34.85,9.81,7.02,1769.0,4.71,0.08,4.58,18.7,7.97,5.117836878870341
17,17,PA11F,0,1,10815400.0,0.3,34.8,34.78,9.99,8.48,1754.0,3.52,0.066,4.63,17.34,7.62,4.780008152384499
18,18,EA1602,1,0,10491700.0,0.26,13.2,26.62,6.63,7.1,1882.0,4.01,0.08,6.83,10.73,11.73,1.1203903203470345
19,19,PA12F,0,1,10007700.0,0.37,31.2,33.44,9.03,7.05,1797.0,2.82,0.078,4.64,18.32,7.9,5.11897528812438
20,20,PA13F,0,1,10498800.0,0.33,58.2,33.4,10.03,8.18,1800.0,3.28,0.073,4.5,17.4,7.55,4.575379813653783
21,21,PA14F,0,1,10136300.0,0.3,45.4,36.19,10.55,7.75,1828.0,5.35,0.077,4.6,18.37,7.57,5.159792755605678
22,22,EA0952,1,0,10231000.0,0.27,13.8,25.78,6.05,6.32,2187.0,3.71,0.074,6.23,10.15,11.31,1.7165839255521342
23,23,PA15F,0,1,10004100.0,0.3,14.1,33.48,9.0,7.78,1795.0,4.59,0.077,4.47,17.56,7.54,5.233106136282941
24,24,PA1709-1440,0,0,10436200.0,0.33,15.4,27.32,9.84,8.39,1769.0,5.47,0.07,4.51,17.37,7.48,5.4350619070543065
25,25,EA1628,1,0,10114200.0,0.29,12.6,27.68,6.08,6.42,1757.0,3.47,0.076,6.78,10.14,11.68,1.3471689397773157
26,26,PA1709-1422,0,0,10585000.0,0.3,30.0,31.54,9.61,7.55,1768.0,6.0,0.074,4.56,18.65,8.17,5.1788246809697895
27,27,PA1711-1032,0,0,10313800.0,0.29,41.4,27.01,8.51,7.07,1754.0,4.94,0.072,4.51,18.95,8.16,5.899987776613572
28,28,PA16F,0,1,10068300.0,0.31,29.4,34.29,9.2,7.21,1873.0,3.31,0.085,4.58,17.75,7.55,5.189546781700714
29,29,EA1620,1,0,9968180.0,0.29,25.2,29.46,6.38,6.55,2082.0,4.49,0.08,6.43,10.82,11.85,1.163046041475313
30,30,PA17F,0,1,10162300.0,0.31,25.8,33.95,9.41,5.84,1796.0,3.53,0.079,5.17,17.83,7.59,4.873829343811817
31,31,PA18F,0,1,10242600.0,0.35,55.2,35.61,9.84,7.34,1868.0,4.01,0.077,4.57,17.78,7.47,5.903787820618815
32,32,EA1625,1,0,10083000.0,0.28,26.9,30.3,6.31,6.66,1804.0,3.78,0.073,6.82,9.57,11.41,1.3430774615143457
33,33,PA19F,0,1,9812700.0,0.3,34.4,36.2,8.54,7.61,1817.0,4.62,0.079,4.47,18.41,7.55,5.81961960810308
34,34,PA20F,0,1,10168500.0,0.33,40.7,35.38,10.34,7.73,1814.0,3.77,0.078,4.48,17.61,7.6,4.494977244976803
35,35,PA21F,0,1,10375600.0,0.37,50.2,33.15,9.79,6.99,1718.0,3.04,0.08,4.59,18.13,8.15,5.062068014383681
36,36,EA1494,1,0,10332900.0,0.26,11.8,29.29,6.82,6.42,1682.0,8.07,0.079,7.18,10.17,11.67,1.3618700156226005
37,37,PA22F,0,1,10292400.0,0.33,31.3,33.83,9.97,7.64,1745.0,4.33,0.069,4.53,18.3,7.39,5.313067283297268
38,38,PA23F,0,1,10203600.0,0.3,48.2,35.62,11.56,9.54,1809.0,4.1,0.084,4.54,10.63,7.14,5.1788246809697895
39,39,PA24F,0,1,10032200.0,0.33,39.6,33.29,8.81,7.47,1811.0,3.99,0.076,4.59,17.79,7.88,5.304445566310865
40,40,EA1616,1,0,10473100.0,0.25,12.9,27.41,6.07,6.6,1821.0,4.11,0.072,7.3,9.72,12.37,1.2666352506141105
41,41,PA25F,0,1,10526200.0,0.33,17.6,25.6,8.33,8.45,1799.0,2.97,0.083,4.57,17.24,7.4,4.829147904163888
42,42,PA26F,0,1,10015600.0,0.3,33.7,31.67,11.09,7.27,1777.0,3.77,0.084,4.53,18.46,7.69,5.092356204956304
43,43,EA1591,1,0,10626000.0,0.24,14.3,27.09,6.22,6.8,1773.0,4.33,0.069,6.85,9.35,11.43,0.9851148598349175
44,44,PA27F,0,1,10993900.0,0.37,21.6,29.81,8.86,9.02,1837.0,3.15,0.078,4.6,17.18,7.65,4.33488998579782
45,45,PA28F,0,1,10695000.0,0.37,17.5,25.47,8.73,7.15,1762.0,3.57,0.073,4.95,18.17,7.7,5.393909293168611
46,46,PA29F,0,1,9743020.0,0.35,21.1,27.29,9.1,7.02,1819.0,3.04,0.085,1.43,17.88,7.58,5.219649676020449
47,47,EA1574,1,0,10435700.0,0.24,16.4,29.73,6.76,6.47,1681.0,4.96,0.072,7.57,9.34,11.97,1.405717014172977
48,48,PA30F,0,1,10288900.0,0.29,22.8,27.32,8.97,8.97,1779.0,3.77,0.075,4.45,10.08,7.23,5.455393527890745
49,49,PA31F,0,1,10317600.0,0.37,45.6,32.76,11.32,7.02,1840.0,2.59,0.076,4.41,18.14,7.93,24.98774455757818
50,50,EA1572,1,0,10430000.0,0.36,15.5,28.45,6.98,6.35,1858.0,3.83,0.078,7.4,10.44,11.67,1.1472668118920624
51,51,PA32F,0,1,10207800.0,0.34,23.8,29.12,9.88,7.12,1814.0,2.82,0.075,4.32,18.82,7.84,4.352557604367669
52,52,PA33F,0,1,9795590.0,0.35,25.5,31.78,8.88,6.36,1778.0,3.38,0.077,4.73,19.37,8.43,5.177911266294821
53,53,PA34F,0,1,10005400.0,0.3,16.1,25.23,9.38,1.71,1760.0,4.29,0.079,4.69,17.18,7.51,5.416951495849075
54,54,EA1594,1,0,10037700.0,0.28,17.1,29.01,6.18,6.68,2145.0,5.43,0.082,5.99,10.2,11.51,0.8277153488273759
55,55,PA35F,0,1,10044200.0,0.3,11.2,28.87,9.37,7.66,1825.0,4.11,0.077,4.63,18.21,7.59,5.250590633418637
56,56,PA36F,0,1,9947910.0,0.3,23.7,32.42,11.21,6.79,1892.0,3.89,0.076,4.77,18.97,8.13,5.747488394677531
57,57,EA1586,1,0,9924250.0,0.29,28.3,25.4,7.18,6.4,1832.0,3.88,0.083,6.58,10.16,11.6,1.1130753510155713
58,58,PA37F,0,1,10234300.0,0.36,25.1,31.57,9.38,6.87,1805.0,2.81,0.081,4.6,18.81,7.95,5.24796777506992
59,59,PA38F,0,1,9993570.0,0.31,38.5,30.87,10.32,7.26,1773.0,3.08,0.086,4.56,17.95,7.59,4.936477244757075
60,60,PA39F,0,1,10096700.0,0.37,42.1,28.38,9.77,8.57,1826.0,2.68,0.08,4.53,11.08,7.27,4.643857306547926
61,61,EA1589,1,0,9933650.0,0.28,21.8,27.9,5.82,6.16,1981.0,3.41,0.089,6.32,9.81,11.09,1.0486187611239755
62,62,PA40F,0,1,10160200.0,0.36,20.7,30.56,10.59,7.59,1863.0,2.71,0.082,4.53,16.35,7.62,5.024565854353086
63,63,PA41F,0,1,10400100.0,0.3,28.7,29.78,9.19,7.1,1764.0,3.42,0.077,4.98,18.6,8.05,5.686402111968611
64,64,EA1587,1,0,10324900.0,0.26,20.6,28.17,5.97,6.72,1692.0,3.26,0.084,7.23,8.95,11.18,0.8845416327611216
65,65,PA42F,0,1,10363000.0,0.33,33.0,32.96,8.71,7.63,1763.0,3.03,0.072,4.65,17.8,7.81,4.80377397734893
66,66,PA43F,0,1,10471900.0,0.31,31.9,34.22,8.99,7.81,1773.0,5.52,0.07,4.62,17.14,7.68,5.327558496815673
67,67,PA44F,0,1,10218800.0,0.29,17.8,28.03,9.53,5.24,1750.0,4.45,0.072,4.57,17.61,7.48,5.0894080013978575
68,68,EA0512,1,0,10140000.0,0.25,23.4,26.42,6.51,6.37,1720.0,3.26,0.084,7.1,11.04,12.11,0.8754687074143943
69,69,PA45F,0,1,10133000.0,0.31,15.3,30.09,8.61,7.02,1780.0,4.18,0.083,4.57,17.89,7.62,5.28625441567966
70,70,PA46F,0,1,9911950.0,0.39,10.6,25.96,9.15,7.29,1781.0,2.81,0.079,4.54,18.55,7.68,5.219740940506176
71,71,EA1554,1,0,9803770.0,0.26,32.8,26.66,6.45,6.31,1722.0,3.47,0.087,7.09,10.76,12.18,0.38974191299394556
72,72,PA47F,0,1,10180800.0,0.31,15.7,32.33,8.38,7.57,1820.0,3.92,0.079,4.51,18.08,7.56,5.475689976260183
73,73,PA48F,0,1,10053200.0,0.31,9.7,27.77,10.93,7.27,1784.0,4.56,0.078,4.73,18.56,7.88,3.6660055062623527
74,74,PA1709-1439,0,0,11041400.0,0.35,18.7,28.65,9.29,10.23,1758.0,3.63,0.073,4.56,11.35,7.28,4.626074107742354
75,75,EA1548,1,0,10024300.0,0.28,31.8,27.54,5.88,6.46,1830.0,3.21,0.079,6.74,10.34,11.21,1.0030934825175257
76,76,PA49F,0,1,10844900.0,0.36,37.6,30.26,9.68,9.18,1729.0,2.66,0.08,4.55,11.43,7.23,5.305517396749979
77,77,PA50F,0,1,10223600.0,0.34,48.8,33.49,8.94,7.96,1834.0,3.08,0.076,4.54,17.73,7.64,5.35355587679982
78,78,EA1547,1,0,10460100.0,0.27,13.4,24.2,5.58,7.09,1903.0,5.63,0.074,6.56,9.44,11.16,0.8550890401307796
79,79,PA1706-653,0,0,10800300.0,0.32,44.7,27.99,7.62,5.57,1801.0,5.29,0.068,1.46,28.83,10.6,5.133917159468567
80,80,PA51F,0,1,10364000.0,0.31,37.5,34.06,9.89,7.55,1791.0,5.32,0.073,5.04,17.85,7.8,5.296578355713221
81,81,PA1711-1533,0,0,10416200.0,0.36,24.3,28.34,12.63,11.44,1736.0,3.58,0.069,4.68,16.23,7.42,5.439291132247807
82,82,EA1555,1,0,9902610.0,0.34,24.0,27.05,6.89,6.18,1955.0,2.59,0.092,6.68,9.94,11.66,1.638740645375635
83,83,PA52F,0,1,10066500.0,0.34,16.6,30.72,8.73,7.47,1783.0,4.42,0.072,4.6,17.17,7.43,4.680024786627347
84,84,PA53F,0,1,10224300.0,0.29,23.8,33.22,9.21,5.43,1779.0,4.29,0.072,4.53,18.32,7.64,4.5270490544696855
85,85,EA1557,1,0,9811040.0,0.28,26.5,26.35,6.7,6.25,1696.0,4.45,0.086,5.89,10.85,12.56,1.1939421873767393
86,86,PA54F,0,1,10282700.0,0.36,34.8,33.56,10.66,6.98,1780.0,3.28,0.07,4.69,18.81,8.04,4.596931602947195
87,87,PA55F,0,1,10404200.0,0.29,18.4,27.24,9.65,7.27,1780.0,4.84,0.079,4.64,18.22,7.73,5.683308989259483
88,88,PA56F,0,1,10014800.0,0.36,15.4,30.52,9.69,8.23,1811.0,2.66,0.079,4.27,11.15,7.72,4.592428789964099
89,89,EA1558,1,0,10040300.0,0.29,14.6,26.74,5.87,6.71,1729.0,3.78,0.084,7.51,9.78,11.99,1.5434397173355576
90,90,PA57F,0,1,10210600.0,0.33,21.6,29.68,8.23,8.3,1962.0,3.99,0.08,4.45,10.22,7.02,5.503728270319181
91,91,PA58F,0,1,9694450.0,0.28,13.2,29.13,9.68,7.54,1799.0,6.78,0.078,4.43,17.31,7.68,4.48458634158522
92,92,EA1499,1,0,10447300.0,0.28,17.5,26.48,6.16,6.59,1867.0,2.68,0.077,6.42,10.5,11.7,1.2731473397187205
93,93,PA59F,0,1,10219600.0,0.34,21.2,31.09,10.09,7.7,1810.0,3.83,0.082,4.42,17.1,7.37,5.249792718916953
94,94,PA60F,0,1,10114200.0,0.35,22.1,30.99,9.89,6.38,1807.0,3.58,0.077,4.56,19.37,8.13,5.054431890067437
95,95,PA61F,0,1,10337200.0,0.35,27.7,30.77,9.49,7.34,1781.0,3.65,0.077,4.55,12.11,7.63,4.904988779149719
96,96,EA1498,1,0,10024900.0,0.31,18.0,28.91,6.74,5.93,1962.0,2.81,0.086,5.48,11.54,11.97,1.1309529245519112
97,97,PA62F,0,1,9985210.0,0.28,25.4,28.69,9.9,7.35,1798.0,4.62,0.079,4.52,18.46,7.7,5.2639378283106435
98,98,PA63F,0,1,9694500.0,0.34,9.4,27.42,9.8,6.87,1785.0,3.99,0.08,4.62,18.39,7.78,4.8019919641590665
99,99,EA1492,1,0,9808060.0,0.28,11.3,31.39,6.95,6.28,1715.0,4.3,0.08,7.32,9.97,11.83,1.1789902980177502
100,100,PA1802-1130,0,0,10401100.0,0.3,17.6,28.01,9.95,8.4,1806.0,5.46,0.07,4.5,11.11,7.32,5.04343954682272
101,101,PA64F,0,1,9958440.0,0.32,37.6,31.25,8.76,7.2,1735.0,3.87,0.088,4.66,18.11,8.16,4.305027328130779
102,102,PA65F,0,1,10241800.0,0.35,22.4,30.76,9.84,8.41,1793.0,3.71,0.077,4.48,12.08,7.44,5.535659454639528
103,103,EA0942,1,0,10202800.0,0.24,17.9,28.23,7.24,6.51,2181.0,5.05,0.078,5.49,11.14,11.91,0.8423911341063276
104,104,PA66F,0,1,10082200.0,0.31,14.4,31.85,10.91,7.8,1876.0,4.16,0.077,4.4,18.16,7.29,6.0576362963557875
105,105,PA67F,0,1,9943500.0,0.33,32.5,31.7,9.88,8.05,1740.0,3.68,0.075,4.52,11.65,7.26,5.661597089673604
106,106,EA1496,1,0,10253600.0,0.3,21.5,31.47,5.97,6.47,1849.0,3.46,0.077,7.07,10.61,12.11,0.9646597572350624
107,107,PA68F,0,1,10055900.0,0.31,37.5,31.27,8.37,7.19,1703.0,4.15,0.075,5.0,17.93,8.07,4.950387529811331
108,108,PA69F,0,1,10006900.0,0.32,16.6,28.35,10.51,7.32,1796.0,5.25,0.073,4.84,16.38,7.74,4.967389637093001
109,109,PA1709-1561,0,0,10300000.0,0.39,32.2,30.43,9880000000.0,8.74,1707.0,7.07,0.073,4.46,11.93,7.34,4.967389637093001
110,110,EA0330,1,0,9859760.0,0.33,21.0,29.96,6.04,6.35,1750.0,3.43,0.081,7.32,10.14,11.52,0.723763334147987
111,111,PA70F,0,1,10065100.0,0.29,15.3,31.02,8.93,6.04,1896.0,4.96,0.079,4.75,10.28,7.28,5.942123265941894
112,112,PA71F,0,1,10437300.0,0.3,21.6,32.01,9.21,7.13,1782.0,4.36,0.079,4.84,18.66,8.46,5.730251355740506
113,113,EA0534,1,0,10482900.0,0.26,12.9,27.66,5.38,6.92,1748.0,3.82,0.077,7.29,10.43,11.61,0.5398917820986727
114,114,PA1705-520,0,0,9774410.0,0.34,26.6,29.23,7.72,5.82,1809.0,3.56,0.077,1.5,23.81,9.75,5.2745101861211605
115,115,PA72F,0,1,10438300.0,0.34,54.8,30.42,10.13,7.95,1784.0,2.94,0.076,4.58,12.04,7.51,4.661022955762655
116,116,PA73F,0,1,10174900.0,0.31,18.5,29.62,8.53,7.16,1768.0,3.51,0.079,4.53,19.42,8.02,4.9671365486525145
117,117,EA0220,1,0,10143100.0,0.28,22.9,29.78,6.62,6.6,2088.0,3.08,0.088,5.76,11.12,11.17,1.2567542494426673
118,118,PA1801-1196,0,0,10702100.0,0.36,32.4,28.03,9.51,7.57,1808.0,3.84,0.068,6.88,16.06,7.89,4.9372567610536215
119,119,PA1801-1268,0,0,10558300.0,0.29,27.1,28.86,9.58,7.72,1763.0,4.6,0.074,4.52,17.33,7.58,5.136890590195205
120,120,PA74F,0,1,10917800.0,0.3,9.4,32.37,9.45,7.57,1784.0,5.0,0.072,4.11,18.32,8.35,4.819238903295507
121,121,EA0337,1,0,10305300.0,0.28,24.2,31.81,5.5,6.66,1693.0,3.16,0.076,7.5,9.89,11.58,1.3294142131812496
122,122,PA75F,0,1,10158600.0,0.3,16.0,31.19,9.0,7.61,1756.0,3.75,0.084,4.59,17.84,7.48,4.333178889585395
123,123,PA76F,0,1,9708630.0,0.31,26.2,25.94,8.35,8.64,1823.0,3.56,0.086,4.55,10.46,7.18,5.431566522972796
124,124,EA0287,1,0,9995190.0,0.36,21.4,25.08,5.8,6.19,1844.0,2.67,0.082,7.19,10.67,12.01,1.2464188455120393
125,125,PA77F,0,1,10372200.0,0.32,19.0,31.71,9.77,7.79,1973.0,3.15,0.082,4.56,12.3,7.56,4.0398509303546515
126,126,PA78F,0,1,9857150.0,0.34,26.4,27.0,8.95,7.36,1800.0,3.91,0.082,4.63,18.37,7.89,5.961655938725032
127,127,PA79F,0,1,10339200.0,0.34,23.9,31.07,10.04,7.53,1800.0,2.85,0.076,3.43,18.27,8.01,5.092343318424291
128,128,EA0251,1,0,10050800.0,0.26,15.6,31.35,6.2,6.18,1689.0,3.82,0.083,7.37,10.28,11.77,1.3185720705048622
129,129,PA1712-1258,0,0,10311300.0,0.36,16.4,28.11,9.55,8.75,1738.0,4.57,0.077,4.68,11.02,7.09,5.052868722754294
130,130,PA80F,0,1,9811680.0,0.31,19.6,30.77,10.53,7.86,1730.0,3.67,0.078,3.74,11.2,7.29,5.28259165526526
131,131,EA0497,1,0,10403900.0,0.25,19.5,27.01,6.5,6.4,1952.0,3.69,0.071,5.8,10.54,12.12,0.6699595604340236
132,132,PA81F,0,1,10093300.0,0.35,25.1,31.63,10.34,7.37,1787.0,2.98,0.075,4.96,18.28,7.97,3.8533899698847742
133,133,PA82F,0,1,9728100.0,0.36,20.6,27.87,10.39,8.33,1791.0,3.36,0.077,4.46,11.02,7.08,4.285137738832581
134,134,PA1709-1793,0,0,9869380.0,0.27,21.4,27.0,6.92,6.44,1763.0,3.73,0.084,7.2,9.97,11.48,4.887616380186424
135,135,EA0432,1,0,10405300.0,0.3,23.5,31.65,5.89,6.74,2104.0,4.91,0.069,6.43,9.48,11.73,1.304830408805998
136,136,PA83F,0,1,10334600.0,0.37,28.6,33.84,8.73,7.48,1891.0,3.79,0.072,4.89,18.16,7.82,4.979091513911987
137,137,PA84F,0,1,10449100.0,0.31,14.9,29.54,9.38,5.22,1851.0,4.31,0.069,4.53,18.5,7.65,5.185441899312291
138,138,EA1785,1,0,10363800.0,0.24,17.3,30.67,5.32,6.89,1868.0,4.63,0.072,6.94,9.69,11.56,0.6948094327676865
139,139,PA1803-1153,0,0,10110400.0,0.28,36.1,29.57,9.71,7.85,1822.0,13.56,0.076,4.44,18.21,7.7,4.900785808551799
140,140,PA85F,0,1,10258000.0,0.34,37.6,31.94,9.34,5.98,1794.0,3.1,0.078,4.91,16.67,7.33,5.145716428638047
141,141,PA86F,0,1,10360300.0,0.38,40.5,34.23,8.64,7.86,1987.0,2.45,0.076,4.56,13.02,7.7,4.259469152213863
142,142,EA1045,1,0,10203700.0,0.28,17.9,32.61,5.84,6.61,1820.0,3.9,0.07,6.9,10.07,11.5,0.7594676533909072
143,143,PA87F,0,1,10386100.0,0.35,40.5,31.34,10.26,6.8,1816.0,3.17,0.081,4.64,18.13,7.73,5.0709235351139945
144,144,PA88F,0,1,10292600.0,0.36,15.3,31.13,9.12,7.63,1793.0,2.75,0.077,4.39,17.26,7.77,5.365401035648977
145,145,EA1930,1,0,10617800.0,0.28,35.5,31.41,5.29,6.92,1999.0,3.1,0.069,6.52,9.95,11.67,1.1338906665375879
146,146,PA89F,0,1,9986080.0,0.33,14.0,30.99,9.43,7.82,1792.0,3.82,0.082,4.58,10.31,7.26,4.8614029520164985
147,147,PA90F,0,1,10143200.0,0.28,17.4,30.11,10.52,7.47,1891.0,4.46,0.083,4.55,17.59,7.41,5.004942962600455
148,148,PA1708-1348,0,0,9800820.0,0.36,30.8,29.76,9.76,7.09,1747.0,3.35,0.075,4.55,18.22,8.05,4.438745873538652
149,149,EA1820,1,0,10352900.0,0.24,23.0,32.78,6.44,6.88,1832.0,4.18,0.07,6.96,10.23,11.16,0.8696779539380727
150,150,PA91F,0,1,9865440.0,0.29,13.9,27.89,11.55,8.33,1801.0,3.76,0.081,4.5,10.74,6.98,5.149114667787717
151,151,PA92F,0,1,10353500.0,0.31,16.0,27.17,9.14,7.69,1850.0,4.98,0.074,4.59,17.13,7.93,4.80115661513482
152,152,EA1667,1,0,9950790.0,0.26,14.4,29.06,5.95,6.54,1668.0,3.95,0.078,6.51,10.3,11.11,0.9565094083975498
153,153,PA93F,0,1,10428300.0,0.36,16.8,29.86,10.85,7.73,1813.0,2.79,0.081,4.6,17.47,7.6,5.313072417956857
154,154,PA1709-1386,0,0,10584500.0,0.31,14.5,28.16,8.8,7.16,1797.0,2.57,0.076,7.16,18.82,8.17,4.526081890061581
155,155,PA94F,0,1,10137300.0,0.35,36.6,28.45,9.37,7.94,1829.0,2.95,0.077,4.69,17.79,7.8,4.495969867400333
156,156,EA1826,1,0,10272400.0,0.28,12.1,25.9,5.36,6.43,1792.0,4.41,0.077,7.09,10.63,12.2,0.6204740464829264
157,157,PA95F,0,1,9947080.0,0.3,23.8,33.31,9.05,7.91,1811.0,3.57,0.077,4.35,18.06,7.44,4.945074512886472
158,158,PA96F,0,1,10286800.0,0.32,15.7,29.54,9.91,7.65,1775.0,4.62,0.075,4.69,17.37,7.38,5.214586610078806
159,159,EA1890,1,0,10366300.0,0.31,25.4,31.04,6.61,7.07,2277.0,3.79,0.082,5.93,9.77,10.84,0.7560928708669686
160,160,PA97F,0,1,10255800.0,0.32,13.1,26.15,8.75,7.34,1901.0,3.08,0.073,4.64,18.75,8.02,4.656914680788963
161,161,PA1707-1639,0,0,10525000.0,0.3,32.3,28.44,8.0,7.5,1805.0,2.06,0.08,4.6,17.12,7.82,5.74058479400883
162,162,PA98F,0,1,10552700.0,0.39,38.0,33.1,8.85,6.52,1873.0,2.99,0.073,4.59,19.86,8.55,4.976200607876419
163,163,EA1864,1,0,9973630.0,0.34,28.1,30.6,7.14,6.7,2229.0,3.74,0.078,5.77,9.96,11.03,1.1687219144352927
164,164,PA99F,0,1,10712800.0,0.38,35.0,33.07,10.0,5.39,1768.0,3.06,0.068,4.57,10.39,7.48,5.336778365340908
165,165,PA100F,0,1,10740300.0,0.35,12.2,29.11,10.46,8.29,1840.0,5.1,0.067,4.53,17.26,7.44,4.65691072492713
166,166,EA1889,1,0,10125300.0,0.27,20.0,29.44,6.88,6.32,1941.0,4.38,0.077,6.82,11.19,12.51,0.6178938013882865
167,167,PA101F,0,1,10130600.0,0.28,9.0,27.42,9.95,5.92,1787.0,4.55,0.08,4.63,18.41,7.8,5.475870418222196
168,168,PA1708-1550,0,0,10411900.0,0.35,21.5,27.4,8.74,2.69,1799.0,3.33,0.072,4.62,18.52,7.83,3.0109559613940937
169,169,PA102F,0,1,10328800.0,0.34,26.0,26.07,9.83,8.16,1826.0,3.79,0.078,4.35,17.78,7.69,3.866228928389662
170,170,EA1618,1,0,10351900.0,0.26,18.8,32.04,5.65,6.78,2148.0,4.32,0.073,5.84,9.57,11.58,0.9599675808882191
171,171,PA1612-146C,0,0,10278400.0,0.32,7.5,28.18,8.94,7.12,1726.0,3.76,0.076,4.67,17.66,7.7,5.109929022496453
172,172,PA1709-1256,0,0,10988900.0,0.32,34.0,27.47,10.06,8.82,1746.0,3.47,0.074,4.52,14.77,7.34,5.388299064818004
173,173,EA0414,1,0,10067400.0,0.28,20.8,31.58,5.97,6.85,2083.0,4.82,0.079,6.34,10.23,11.06,1.5336407402771768
174,174,PA103F,0,1,10454700.0,0.31,33.4,32.44,10.06,8.03,1800.0,4.61,0.071,4.21,17.59,7.36,34.60325284656125
175,175,PA104F,0,1,10242400.0,0.35,24.8,32.91,9.13,7.92,1768.0,3.33,0.075,4.42,17.38,7.36,5.158732055679893
176,176,PA1708-1323,0,0,10289700.0,0.33,21.4,27.17,10.27,8.01,1822.0,3.77,0.071,4.58,17.27,7.32,4.958539000473609
177,177,EA0237,1,0,10293700.0,0.28,21.5,26.02,6.25,6.51,1874.0,4.7,0.07,5.66,11.49,12.54,0.890374768266102
178,178,PA105F,0,1,10617500.0,0.38,34.5,31.46,8.63,7.99,1969.0,2.88,0.082,4.56,12.44,7.6,3.972687559643351
179,179,PA1803-1229,0,0,10442000.0,0.28,50.7,28.57,9.84,8.54,1826.0,5.62,0.075,4.52,17.68,7.46,4.911637275532706
180,180,EA0224,1,0,10425800.0,0.25,20.0,30.12,6.88,6.41,1711.0,4.08,0.078,6.8,10.39,12.33,1.0792387348825163
181,181,PA106F,0,1,9965720.0,0.34,23.5,32.72,9.45,7.23,1844.0,3.65,0.08,4.54,18.48,7.78,4.640221346783965
182,182,PA107F,0,1,10210000.0,0.33,55.4,31.77,9.35,7.35,1815.0,3.5,0.08,4.61,18.4,7.65,4.228760916066347
183,183,PA108F,0,1,10230500.0,0.33,28.1,32.45,10.25,8.62,1762.0,3.63,0.077,4.54,11.38,7.34,4.882178280644254
184,184,EA1860,1,0,10167400.0,0.3,45.8,31.01,6.0,6.93,2200.0,3.09,0.074,5.85,10.59,11.33,0.7941353777192889
185,185,PA109F,0,1,10552200.0,0.32,56.8,32.52,9.19,7.67,1747.0,3.3,0.08,4.61,17.95,7.79,5.325550844684248
186,186,PA110F,0,1,10427300.0,0.33,20.4,30.4,10.82,7.69,1958.0,3.06,0.079,4.57,18.18,7.79,5.491553813090122
187,187,EA1818,1,0,10361000.0,0.26,15.6,26.06,6.89,6.55,1834.0,4.23,0.069,6.04,10.16,11.91,1.0548758639081912
188,188,PA1710-1637,0,0,10528500.0,0.35,48.9,28.93,9.94,8.78,1709.0,4.79,0.07,4.59,10.17,7.26,5.905861833045952
189,189,PA1705-575,0,0,11198100.0,0.4,30.2,27.96,7.77,8.12,1711.0,2.83,0.069,4.53,17.7,8.04,5.6800969130077235
190,190,PA111F,0,1,10039800.0,0.28,34.3,26.41,9.07,6.97,1722.0,4.83,0.079,4.66,17.41,7.88,4.908052274352449
