,index,SN,isDyn,isHqe,gain,resolution,dcr,pde,tts,amplitude,HV,PvsV,SvsN,risetime,falltime,fwhm,tts_ss
6737,6737,PA1805-2601,0,1,9751530.0,0.36,57.5,29.23,10.0,6.82,1715.0,3.13,0.078,4.54,16.71,7.9,5.473705530262298
6738,6738,PA1807-2103,0,1,10188100.0,0.3,18.0,28.24,13.15,7.61,1758.0,6.92,0.072,4.54,16.92,7.35,5.419584560961291
6739,6739,EA3677,1,0,9828850.0,0.28,10.4,27.82,6.22,6.72,1867.0,3.47,0.084,7.12,9.18,10.82,1.0977354866149664
6740,6740,PA1807-2129,0,1,10257800.0,0.29,25.7,30.97,11.06,8.54,1700.0,4.25,0.07,4.51,10.53,7.13,5.166675728421883
6741,6741,PA1807-2159,0,1,10927400.0,0.28,38.3,31.47,11.09,8.5,1710.0,5.17,0.066,4.66,17.33,7.37,5.532000106987487
6742,6742,PA1807-2184,0,1,10722300.0,0.31,50.6,29.45,10.51,7.94,1783.0,4.17,0.073,4.43,17.99,7.28,5.531239207305748
6743,6743,EA3862,1,0,9789370.0,0.29,11.5,27.42,6.17,9876540000.0,1832.0,3.03,0.089,7.95,10.19,11.27,7.29624601557851
6744,6744,PA1712-1034,0,0,11005500.0,0.34,44.2,28.26,12.85,7.76,1748.0,3.87,0.068,5.11,17.8,7.99,5.283131200469934
6745,6745,PA1712-1803,0,0,10677000.0,0.29,27.2,27.2,8.81,7.72,1641.0,5.27,0.067,4.55,18.29,7.89,6.179544605284363
6746,6746,PA1806-2884,0,1,10411100.0,0.33,32.7,26.38,8.46,7.77,1769.0,4.06,0.072,3.77,18.19,7.86,5.687628240192295
6747,6747,EA3620,1,0,9873030.0,0.29,10.7,30.29,5.22,6.49,1982.0,3.59,0.081,6.69,10.7,11.36,0.9624828071912399
6748,6748,PA1704-193B,0,0,10485100.0,0.35,18.9,27.13,10.43,5.21,1829.0,5.12,0.069,1.46,29.49,10.52,4.948874008121164
6749,6749,PA1806-1109,0,1,10449000.0,0.34,30.7,32.22,14.99,7.22,1758.0,3.38,0.073,4.63,18.65,7.94,3.693582293807783
6750,6750,EA3665,1,0,9922770.0,0.32,19.7,27.05,5.56,6.8,2073.0,2.73,0.082,6.29,10.05,11.06,0.7657602403987023
6751,6751,PA1805-1190,0,1,10429700.0,0.3,30.2,31.51,9.66,7.1,1730.0,3.51,0.072,4.3,18.7,8.28,5.453452429266324
6752,6752,PA1805-1299,0,1,10826200.0,0.31,52.8,28.28,8.57,7.66,1809.0,3.47,0.073,4.8,17.59,7.33,5.270639835142682
6753,6753,PA1805-1182,0,1,10242300.0,0.32,25.5,26.88,10.6,7.59,1635.0,3.76,0.076,6.89,17.67,7.66,4.7896853856648764
6754,6754,EA3683,1,0,9837890.0,0.28,11.9,27.56,6.1,6.46,1701.0,3.37,0.09,7.03,10.56,11.09,7.461339191123844
6755,6755,PA1708-1349,0,0,10689100.0,0.28,54.0,28.63,9.55,9876540000.0,1750.0,4.56,0.07,4.56,11.51,7.35,4.240268461326716
6756,6756,PA1806-2307,0,1,10724800.0,0.32,42.4,29.87,9.92,5.26,1774.0,4.03,0.07,4.82,17.93,7.72,4.265623116307273
6757,6757,EA3853,1,0,9695650.0,0.28,8.8,28.0,6.14,6.22,1720.0,3.12,0.089,7.42,11.01,11.83,1.594115465282704
6758,6758,PA1805-1281,0,1,10942200.0,0.28,32.5,29.72,11.11,6.61,1814.0,4.65,0.067,4.5,19.54,8.03,4.868411884893452
