28 28 PA17F 0 1 10162300.0 0.31 25.8 33.95 9.41 5.84 1796.0 3.53 0.079 5.17 17.83 7.59 4.228760916066347 39.17203945446602 0.005085233048349619 0.029522197058882295
29 29 EA1620 1 0 9968180.0 0.29 25.2 29.46 6.38 6.55 2082.0 4.49 0.08 6.43 10.82 11.85 1.3430774615143457 39.213270485359146 0.0003110285545705463 0.09873402316929038
30 30 PA18F 0 1 10242600.0 0.35 55.2 35.61 9.84 7.34 1868.0 4.01 0.077 4.57 17.78 7.47 4.882178280644254 40.15958838910808 0.009917283460166588 0.029521381395835076
31 31 PA1709-1357 0 0 9657700.0 0.37 54.1 27.91 10.0 6.69 1702.0 3.49 0.081 5.13 18.38 7.9 5.3171675245956695 42.50481179821414 0.005568837933586663 0.029385851575196704
32 32 EA1625 1 0 10083000.0 0.28 26.9 30.3 6.31 6.66 1804.0 3.78 0.073 6.82 9.57 11.41 1.3618700156226005 42.9184544941952 0.0006647441455163061 0.10320361777414172
33 33 PA19F 0 1 9812700.0 0.3 34.4 36.2 8.54 7.61 1817.0 4.62 0.079 4.47 18.41 7.55 5.325550844684248 45.75443531040288 0.004284858564862179 0.026606925271694802
34 34 PA20F 0 1 10168500.0 0.33 40.7 35.38 10.34 7.73 1814.0 3.77 0.078 4.48 17.61 7.6 5.491553813090122 46.283749930256846 0.0015648943920154122 0.029257579047247854
35 35 PA1712-1780 0 0 10340400.0 0.33 21.1 27.85 10.43 7.21 1811.0 3.07 0.07 4.41 18.27 8.0 5.072841958266988 35.7048505332619 0.00010900340033695097 0.029879730697778363
36 36 EA1494 1 0 10332900.0 0.26 11.8 29.29 6.82 6.42 1682.0 8.07 0.079 7.18 10.17 11.67 1.2666352506141105 38.12992673635159 -0.0015328168732743862 0.09854259477555752
37 37 PA21F 0 1 10375600.0 0.37 50.2 33.15 9.79 6.99 1718.0 3.04 0.08 4.59 18.13 8.15 4.908052274352449 37.84450543970604 0.008031652162736281 0.029300625096538375
38 38 PA22F 0 1 10292400.0 0.33 31.3 33.83 9.97 7.64 1745.0 4.33 0.069 4.53 18.3 7.39 5.324411277333333 37.632091653331294 0.0008366608758471191 0.028737263800372604
39 39 PA23F 0 1 10203600.0 0.3 48.2 35.62 11.56 9.54 1809.0 4.1 0.084 4.54 10.63 7.14 4.308531813977121 40.172835861738676 0.015131461589545177 0.02898848293691618
40 40 EA1616 1 0 10473100.0 0.25 12.9 27.41 6.07 6.6 1821.0 4.11 0.072 7.3 9.72 12.37 0.9851148598349175 41.47133168371208 -0.001145652657024872 0.09383190865577638
41 41 PA24F 0 1 10032200.0 0.33 39.6 33.29 8.81 7.47 1811.0 3.99 0.076 4.59 17.79 7.88 5.208913611993528 43.252728214839884 -0.001982880802007635 0.029948938286078072
42 42 PA25F 0 1 10526200.0 0.33 17.6 25.6 8.33 8.45 1799.0 2.97 0.083 4.57 17.24 7.4 5.23346998032598 36.38326610231586 0.007177823235072855 0.02838959770509973
43 43 EA1591 1 0 10626000.0 0.24 14.3 27.09 6.22 6.8 1773.0 4.33 0.069 6.85 9.35 11.43 1.405717014172977 40.467380824375894 0.0006496505728354852 0.10025290086492897
44 44 PA26F 0 1 10015600.0 0.3 33.7 31.67 11.09 7.27 1777.0 3.77 0.084 4.53 18.46 7.69 5.188603326294519 41.140986102229434 0.010553036419191726 0.02921616531908512
45 45 PA27F 0 1 10993900.0 0.37 21.6 29.81 8.86 9.02 1837.0 3.15 0.078 4.6 17.18 7.65 5.769164132031021 38.90440685649902 0.006966438217600807 0.029680072183482564
46 46 PA28F 0 1 10695000.0 0.37 17.5 25.47 8.73 7.15 1762.0 3.57 0.073 4.95 18.17 7.7 5.261877004906011 41.23859625177644 0.014022358695277945 0.030305335139038905
47 47 EA1574 1 0 10435700.0 0.24 16.4 29.73 6.76 6.47 1681.0 4.96 0.072 7.57 9.34 11.97 1.1472668118920624 40.92207354990579 -0.0003057493705952443 0.10310094399576047
48 48 PA29F 0 1 9743020.0 0.35 21.1 27.29 9.1 7.02 1819.0 3.04 0.085 1.43 17.88 7.58 5.173064073671582 36.07129310422577 0.006342431977842042 0.031156061902642248
49 49 PA1704-168 0 0 10038900.0 0.3 31.7 29.41 9.13 8.16 1726.0 3.82 0.087 6.7 13.62 7.26 4.781567777473182 43.1044393856996 0.007608409661488284 0.03163613758259453
50 50 EA1572 1 0 10430000.0 0.36 15.5 28.45 6.98 6.35 1858.0 3.83 0.078 7.4 10.44 11.67 0.8277153488273759 41.69774315808975 0.001936712199356407 0.09594636011123658
51 51 PA30F 0 1 10288900.0 0.29 22.8 27.32 8.97 8.97 1779.0 3.77 0.075 4.45 10.08 7.23 5.133763168199452 37.10920036680611 0.006921485133888807 0.028735449578594842
52 52 PA31F 0 1 10317600.0 0.37 45.6 32.76 11.32 7.02 1840.0 2.59 0.076 4.41 18.14 7.93 4.792496402999891 43.87430857830424 0.009058475929812435 0.028499852409455084
53 53 PA32F 0 1 10207800.0 0.34 23.8 29.12 9.88 7.12 1814.0 2.82 0.075 4.32 18.82 7.84 4.305612522351117 41.329485179943966 0.0051852282038965004 0.02687142927096594
54 54 EA1594 1 0 10037700.0 0.28 17.1 29.01 6.18 6.68 2145.0 5.43 0.082 5.99 10.2 11.51 1.1130753510155713 41.23657835727804 0.0009814506294205784 0.09747500833433005
55 55 PA33F 0 1 9795590.0 0.35 25.5 31.78 8.88 6.36 1778.0 3.38 0.077 4.73 19.37 8.43 5.354473520846108 40.00021426282035 0.011614422011667815 0.031976552425052214
56 56 PA34F 0 1 10005400.0 0.3 16.1 25.23 9.38 1.71 1760.0 4.29 0.079 4.69 17.18 7.51 4.583174520288192 39.761154516279696 0.007164958567640033 0.030583119317539362
57 57 EA1586 1 0 9924250.0 0.29 28.3 25.4 7.18 6.4 1832.0 3.88 0.083 6.58 10.16 11.6 1.0486187611239755 35.52066240254236 0.0015519176811911164 0.09846125424136586
58 58 PA35F 0 1 10044200.0 0.3 11.2 28.87 9.37 7.66 1825.0 4.11 0.077 4.63 18.21 7.59 4.320928060502253 40.568778524348964 0.007963828149763867 0.03032736943010241
59 59 PA36F 0 1 9947910.0 0.3 23.7 32.42 11.21 6.79 1892.0 3.89 0.076 4.77 18.97 8.13 5.410088153298447 40.20273429819942 0.006715230471481568 0.03151033974601887
60 60 PA37F 0 1 10234300.0 0.36 25.1 31.57 9.38 6.87 1805.0 2.81 0.081 4.6 18.81 7.95 5.512552983937114 38.797361916455046 0.007933346814011016 0.030989647742059714
61 61 EA1589 1 0 9933650.0 0.28 21.8 27.9 5.82 6.16 1981.0 3.41 0.089 6.32 9.81 11.09 0.8845416327611216 42.04240077850951 -0.0017361415868574134 0.09847814646629816
62 62 PA38F 0 1 9993570.0 0.31 38.5 30.87 10.32 7.26 1773.0 3.08 0.086 4.56 17.95 7.59 5.010559994626685 35.4113988003321 0.005973507802897881 0.03129033571473565
63 63 PA39F 0 1 10096700.0 0.37 42.1 28.38 9.77 8.57 1826.0 2.68 0.08 4.53 11.08 7.27 2.971760492778849 44.56960705033504 0.015340720516774778 0.02831896614822021
64 64 EA1587 1 0 10324900.0 0.26 20.6 28.17 5.97 6.72 1692.0 3.26 0.084 7.23 8.95 11.18 0.8754687074143943 37.8134854325897 -0.0009291485405992717 0.10546292115002871
65 65 PA1708-1485 0 0 10929100.0 0.33 31.8 27.29 9.06 7.5 1786.0 4.4 0.071 4.63 18.98 7.99 5.47607961257962 42.46800473493491 0.008036916072223978 0.030594596085536035
66 66 PA40F 0 1 10160200.0 0.36 20.7 30.56 10.59 7.59 1863.0 2.71 0.082 4.53 16.35 7.62 5.174915762655885 40.90708884755186 0.010712156627187506 0.03108182325703092
67 67 PA41F 0 1 10400100.0 0.3 28.7 29.78 9.19 7.1 1764.0 3.42 0.077 4.98 18.6 8.05 5.192330880913504 34.82585968377441 0.005734626819899744 0.026689043432646012
68 68 EA0512 1 0 10140000.0 0.25 23.4 26.42 6.51 6.37 1720.0 3.26 0.084 7.1 11.04 12.11 0.38974191299394556 48.41542833853734 0.0005399495879653841 0.09426116627268494
69 69 PA1710-1637 0 0 10528500.0 0.35 48.9 28.93 9.94 8.78 1709.0 4.79 0.07 4.59 10.17 7.26 5.501559938618843 38.808870618864894 0.0021453885971568524 0.02948348571639508
70 70 PA42F 0 1 10363000.0 0.33 33.0 32.96 8.71 7.63 1763.0 3.03 0.072 4.65 17.8 7.81 4.813082509036336 39.09422471344843 0.010700077903736383 0.03213401735387742
71 71 EA1554 1 0 9803770.0 0.26 32.8 26.66 6.45 6.31 1722.0 3.47 0.087 7.09 10.76 12.18 1.0030934825175257 41.34870746327937 2.5187571882507307e-05 0.0988869592761904
72 72 PA43F 0 1 10471900.0 0.31 31.9 34.22 8.99 7.81 1773.0 5.52 0.07 4.62 17.14 7.68 5.065614622468469 40.196155999312175 0.008143267481401562 0.030059555684445353
73 73 PA44F 0 1 10218800.0 0.29 17.8 28.03 9.53 5.24 1750.0 4.45 0.072 4.57 17.61 7.48 5.034604614865762 42.94897775667604 0.005651112051545313 0.02755297745559782
74 74 PA45F 0 1 10133000.0 0.31 15.3 30.09 8.61 7.02 1780.0 4.18 0.083 4.57 17.89 7.62 5.294018116550538 35.481102002048864 0.008946168423318655 0.029941639331386615
75 75 EA1548 1 0 10024300.0 0.28 31.8 27.54 5.88 6.46 1830.0 3.21 0.079 6.74 10.34 11.21 0.8550890401307796 31.81852402516069 0.0005062153244856745 0.09580931622162461
76 76 PA46F 0 1 9911950.0 0.39 10.6 25.96 9.15 7.29 1781.0 2.81 0.079 4.54 18.55 7.68 5.747582305541019 30.852982969772953 0.009631387418878149 0.03042259891922568
77 77 PA47F 0 1 10180800.0 0.31 15.7 32.33 8.38 7.57 1820.0 3.92 0.079 4.51 18.08 7.56 5.081543776153797 38.07366578990594 0.008199045973719938 0.028479224193608387
